#Współrzędne Ziemi w układzie barycentrycznym ekliptycznym
#Źródło: http://ssd.jpl.nasa.gov/horizons.cgi
#data			#X			#Y			#Z
2457775.500000000 -5.169659548045623E-01  8.394988682700747E-01 -1.868936510355540E-04	#22-01-2017 00:00:00 TDB
2457776.500000000 -5.317768830614030E-01  8.302199150391073E-01 -1.864441660908909E-04
2457777.500000000 -5.464223752370574E-01  8.206832490008480E-01 -1.858493934846421E-04
2457778.500000000 -5.608976496286104E-01  8.108918064748523E-01 -1.851127018674216E-04
2457779.500000000 -5.751979601853495E-01  8.008486595033117E-01 -1.842429883331511E-04
2457780.500000000 -5.893186063091667E-01  7.905570222621957E-01 -1.832549731201122E-04
2457781.500000000 -6.032549464518422E-01  7.800202569691647E-01 -1.821692947073576E-04
2457782.500000000 -6.170024157405559E-01  7.692418772910058E-01 -1.810122311045946E-04
2457783.500000000 -6.305565468123904E-01  7.582255471489793E-01 -1.798149075543850E-04
2457784.500000000 -6.439129919900139E-01  7.469750733000303E-01 -1.786119334716556E-04
2457785.500000000 -6.570675442602206E-01  7.354943910767159E-01 -1.774395220160948E-04
2457786.500000000 -6.700161544908478E-01  7.237875438672849E-01 -1.763332459021545E-04
2457787.500000000 -6.827549428941447E-01  7.118586578633997E-01 -1.753256379547230E-04
2457788.500000000 -6.952802035590314E-01  6.997119140235789E-01 -1.744438465700320E-04
2457789.500000000 -7.075884015082138E-01  6.873515191873416E-01 -1.737075295104335E-04
2457790.500000000 -7.196761620181316E-01  6.747816782091299E-01 -1.731271526926545E-04
2457791.500000000 -7.315402521022266E-01  6.620065692266957E-01 -1.727028742213612E-04
2457792.500000000 -7.431775545961175E-01  6.490303247446636E-01 -1.724242181204534E-04
2457793.500000000 -7.545850365667028E-01  6.358570216098922E-01 -1.722707212529275E-04
2457794.500000000 -7.657597156035530E-01  6.224906824171000E-01 -1.722136157943938E-04
2457795.500000000 -7.766986290514392E-01  6.089352889632730E-01 -1.722183882845845E-04
2457796.500000000 -7.873988112922440E-01  5.951948055134401E-01 -1.722478179359877E-04
2457797.500000000 -7.978572823262211E-01  5.812732071419280E-01 -1.722649673541333E-04
2457798.500000000 -8.080710478556489E-01  5.671745075607483E-01 -1.722356547541131E-04
2457799.500000000 -8.180371082813195E-01  5.529027819674165E-01 -1.721301452584547E-04
2457800.500000000 -8.277524726157837E-01  5.384621827538592E-01 -1.719240481093556E-04
2457801.500000000 -8.372141734801710E-01  5.238569482301317E-01 -1.715985910055799E-04
2457802.500000000 -8.464192805083397E-01  5.090914060358078E-01 -1.711405203704607E-04
2457803.500000000 -8.553649108967668E-01  4.941699734861856E-01 -1.705418651672001E-04
2457804.500000000 -8.640482370387402E-01  4.790971569894371E-01 -1.697997429210647E-04
2457805.500000000 -8.724664920291646E-01  4.638775522074756E-01 -1.689163131112806E-04
2457806.500000000 -8.806169743802366E-01  4.485158460269819E-01 -1.678989099393571E-04
2457807.500000000 -8.884970536372279E-01  4.330168207095115E-01 -1.667603142882872E-04
2457808.500000000 -8.961041787331927E-01  4.173853597578034E-01 -1.655190497361374E-04
2457809.500000000 -9.034358907475878E-01  4.016264540407432E-01 -1.641995126669249E-04
2457810.500000000 -9.104898410198622E-01  3.857452056783656E-01 -1.628316905614755E-04
2457811.500000000 -9.172638141573533E-01  3.697468264604366E-01 -1.614502217598158E-04
2457812.500000000 -9.237557535202985E-01  3.536366277095143E-01 -1.600926435129901E-04
2457813.500000000 -9.299637849151731E-01  3.374199999332534E-01 -1.587968712879969E-04
2457814.500000000 -9.358862334613204E-01  3.211023831800524E-01 -1.575981966216053E-04
2457815.500000000 -9.415216296043830E-01  3.046892317536679E-01 -1.565262748283133E-04
2457816.500000000 -9.468687027788806E-01  2.881859785553834E-01 -1.556026008406278E-04
2457817.500000000 -9.519263640888601E-01  2.715980040828059E-01 -1.548388312285942E-04
2457818.500000000 -9.566936812895208E-01  2.549306134056327E-01 -1.542360887960351E-04
2457819.500000000 -9.611698498006457E-01  2.381890223681282E-01 -1.537851960658451E-04
2457820.500000000 -9.653541628878297E-01  2.213783527915275E-01 -1.534676866480616E-04
2457821.500000000 -9.692459833215307E-01  2.045036358174825E-01 -1.532574256234642E-04
2457822.500000000 -9.728447183216354E-01  1.875698223806584E-01 -1.531226783303263E-04
2457823.500000000 -9.761497994431914E-01  1.705817996029278E-01 -1.530284572105556E-04
2457824.500000000 -9.791606689011606E-01  1.535444114063398E-01 -1.529389424205653E-04
2457825.500000000 -9.818767732886013E-01  1.364624810045531E-01 -1.528197425911616E-04
2457826.500000000 -9.842975646294956E-01  1.193408325679420E-01 -1.526397750560118E-04
2457827.500000000 -9.864225075153983E-01  1.021843096104843E-01 -1.523726160955585E-04
2457828.500000000 -9.882510901700633E-01  8.499778853173919E-02 -1.519972828171497E-04
2457829.500000000 -9.897828369987227E-01  6.778618694956923E-02 -1.514985193700721E-04
2457830.500000000 -9.910173205299320E-01  5.055446755575214E-02 -1.508667355827314E-04
2457831.500000000 -9.919541714185461E-01  3.330763892828985E-02 -1.500977717214561E-04
2457832.500000000 -9.925930860565285E-01  1.605075497685324E-02 -1.491926459478252E-04
2457833.500000000 -9.929338321334039E-01 -1.211085425112658E-03 -1.481573973763570E-04
2457834.500000000 -9.929762531318524E-01 -1.847273743153964E-02 -1.470030806492116E-04
2457835.500000000 -9.927202732475465E-01 -3.572900718985997E-02 -1.457459024144764E-04
2457836.500000000 -9.921659045836120E-01 -5.297464688174806E-02 -1.444074140071765E-04
2457837.500000000 -9.913132585799672E-01 -7.020434896468551E-02 -1.430145868102169E-04
2457838.500000000 -9.901625632256239E-01 -8.741274203902463E-02 -1.415995092235952E-04
2457839.500000000 -9.887141862966544E-01 -1.045943920557449E-01 -1.401983952039238E-04
2457840.500000000 -9.869686624741372E-01 -1.217438131520541E-01 -1.388496493765568E-04
2457841.500000000 -9.849267192057114E-01 -1.388554912655384E-01 -1.375909523641696E-04
2457842.500000000 -9.825892940382072E-01 -1.559239202870990E-01 -1.364556945839114E-04
2457843.500000000 -9.799575367230990E-01 -1.729436457626920E-01 -1.354694464062096E-04
2457844.500000000 -9.770327933629532E-01 -1.899093075015161E-01 -1.346472796698014E-04
2457845.500000000 -9.738165755395646E-01 -2.068156723095312E-01 -1.339925262009046E-04
2457846.500000000 -9.703105216084699E-01 -2.236576516545599E-01 -1.334970887365726E-04
2457847.500000000 -9.665163580913279E-01 -2.404303040979743E-01 -1.331429809050246E-04
2457848.500000000 -9.624358668029692E-01 -2.571288260285026E-01 -1.329045703840150E-04
2457849.500000000 -9.580708600647576E-01 -2.737485354007951E-01 -1.327510437307008E-04
2457850.500000000 -9.534231638650842E-01 -2.902848523993207E-01 -1.326487799110152E-04
2457851.500000000 -9.484946077236770E-01 -3.067332794881328E-01 -1.325634844152571E-04
2457852.500000000 -9.432870199547426E-01 -3.230893821188813E-01 -1.324620348295800E-04
2457853.500000000 -9.378022273707307E-01 -3.393487707771738E-01 -1.323140224724325E-04
2457854.500000000 -9.320420587416559E-01 -3.555070849204617E-01 -1.320929740890379E-04
2457855.500000000 -9.260083513358599E-01 -3.715599793954006E-01 -1.317772350077663E-04
2457856.500000000 -9.197029596770404E-01 -3.875031138576450E-01 -1.313505089891225E-04
2457857.500000000 -9.131277654439930E-01 -4.033321454425121E-01 -1.308020811419240E-04
2457858.500000000 -9.062846873899960E-01 -4.190427245002736E-01 -1.301267872524938E-04
2457859.500000000 -8.991756903483799E-01 -4.346304927554869E-01 -1.293248209804639E-04
2457860.500000000 -8.918027927920230E-01 -4.500910829161107E-01 -1.284014796335769E-04
2457861.500000000 -8.841680729385222E-01 -4.654201186267877E-01 -1.273669369383532E-04
2457862.500000000 -8.762736739504592E-01 -4.806132137534411E-01 -1.262360996138753E-04
2457863.500000000 -8.681218093113277E-01 -4.956659703040751E-01 -1.250285562738478E-04
2457864.500000000 -8.597147699123446E-01 -5.105739748598546E-01 -1.237685625489809E-04
2457865.500000000 -8.510549346605519E-01 -5.253327942752237E-01 -1.224849250370675E-04
2457866.500000000 -8.421447862771739E-01 -5.399379726483721E-01 -1.212105559629913E-04
2457867.500000000 -8.329869329942767E-01 -5.543850330175986E-01 -1.199813993851202E-04
2457868.500000000 -8.235841346655914E-01 -5.686694883204551E-01 -1.188344419824729E-04
2457869.500000000 -8.139393284585786E-01 -5.827868657239303E-01 -1.178047020704079E-04
2457870.500000000 -8.040556460420196E-01 -5.967327452971498E-01 -1.169214776797153E-04
2457871.500000000 -7.939364135165805E-01 -6.105028082452071E-01 -1.162046116837121E-04
2457872.500000000 -7.835851293581613E-01 -6.240928841660899E-01 -1.156618032803958E-04
2457873.500000000 -7.730054234233839E-01 -6.374989851375659E-01 -1.152877819205971E-04
2457874.500000000 -7.622010071448784E-01 -6.507173188709434E-01 -1.150655033363763E-04
2457875.500000000 -7.511756269559238E-01 -6.637442810779799E-01 -1.149688267872156E-04
2457876.500000000 -7.399330292853050E-01 -6.765764335780863E-01 -1.149657975107961E-04
2457877.500000000 -7.284769395372517E-01 -6.892104765611108E-01 -1.150217710985172E-04
2457878.500000000 -7.168110529465296E-01 -7.016432215223137E-01 -1.151019628813072E-04
2457879.500000000 -7.049390334301360E-01 -7.138715681727722E-01 -1.151733333544663E-04
2457880.500000000 -6.928645168923937E-01 -7.258924860197512E-01 -1.152059092891469E-04
2457881.500000000 -6.805911166439712E-01 -7.377029999416562E-01 -1.151736942850015E-04
2457882.500000000 -6.681224297732268E-01 -7.493001787384503E-01 -1.150552979243914E-04
2457883.500000000 -6.554620440781629E-01 -7.606811258564290E-01 -1.148343623699172E-04
2457884.500000000 -6.426135454923630E-01 -7.718429718676610E-01 -1.144998217972281E-04
2457885.500000000 -6.295805259438342E-01 -7.827828685813097E-01 -1.140460072215016E-04
2457886.500000000 -6.163665914461479E-01 -7.934979847690214E-01 -1.134726075827956E-04
2457887.500000000 -6.029753700978722E-01 -8.039855034022763E-01 -1.127845100119933E-04
2457888.500000000 -5.894105196694946E-01 -8.142426201027483E-01 -1.119915570667132E-04
2457889.500000000 -5.756757346301135E-01 -8.242665423072609E-01 -1.111082660119979E-04
2457890.500000000 -5.617747527910850E-01 -8.340544885532744E-01 -1.101535475390633E-04
2457891.500000000 -5.477113621618405E-01 -8.436036873836352E-01 -1.091504349476808E-04
2457892.500000000 -5.334894090390847E-01 -8.529113757166585E-01 -1.081257886989101E-04
2457893.500000000 -5.191128086600507E-01 -8.619747971880808E-01 -1.071098769238102E-04
2457894.500000000 -5.045855597370553E-01 -8.707912019751034E-01 -1.061356574475839E-04
2457895.500000000 -4.899117635221988E-01 -8.793578508669285E-01 -1.052375239459443E-04
2457896.500000000 -4.750956463325234E-01 -8.876720274380461E-01 -1.044492777499753E-04
2457897.500000000 -4.601415815646623E-01 -8.957310621869655E-01 -1.038012232886786E-04
2457898.500000000 -4.450541039204154E-01 -9.035323701689334E-01 -1.033166170024697E-04
2457899.500000000 -4.298379070144677E-01 -9.110734984188971E-01 -1.030081665860128E-04
2457900.500000000 -4.144978184208297E-01 -9.183521730744969E-01 -1.028756219552178E-04
2457901.500000000 -3.990387539967540E-01 -9.253663328319124E-01 -1.029053786187020E-04
2457902.500000000 -3.834656621040026E-01 -9.321141388501031E-01 -1.030723372176234E-04
2457903.500000000 -3.677834721650214E-01 -9.385939602381300E-01 -1.033434032118588E-04
2457904.500000000 -3.519970584092119E-01 -9.448043429582771E-01 -1.036815240056768E-04
2457905.500000000 -3.361112219910501E-01 -9.507439732798800E-01 -1.040492734102789E-04
2457906.500000000 -3.201306881686162E-01 -9.564116446154874E-01 -1.044114726965998E-04
2457907.500000000 -3.040601125858283E-01 -9.618062319270988E-01 -1.047368118473400E-04
2457908.500000000 -2.879040912885003E-01 -9.669266739826686E-01 -1.049987014092595E-04
2457909.500000000 -2.716671710575420E-01 -9.717719617120943E-01 -1.051756463892027E-04
2457910.500000000 -2.553538585508089E-01 -9.763411304535361E-01 -1.052513783569142E-04
2457911.500000000 -2.389686280420822E-01 -9.806332542728163E-01 -1.052148913746804E-04
2457912.500000000 -2.225159282041962E-01 -9.846474412097180E-01 -1.050604459240800E-04
2457913.500000000 -2.060001885692546E-01 -9.883828289403230E-01 -1.047875486114298E-04
2457914.500000000 -1.894258261958943E-01 -9.918385808065882E-01 -1.044008858197183E-04
2457915.500000000 -1.727972528372966E-01 -9.950138824103960E-01 -1.039101824837794E-04
2457916.500000000 -1.561188826626763E-01 -9.979079390118385E-01 -1.033299656480305E-04
2457917.500000000 -1.393951404403806E-01 -1.000519973867852E+00 -1.026792272100959E-04
2457918.500000000 -1.226304701032464E-01 -1.002849227493463E+00 -1.019809910549377E-04
2457919.500000000 -1.058293437908042E-01 -1.004894957741573E+00 -1.012617875954793E-04
2457920.500000000 -8.899627173747997E-02 -1.006656440693181E+00 -1.005510179877833E-04
2457921.500000000 -7.213581362402402E-02 -1.008132972713905E+00 -9.988015096296909E-05
2457922.500000000 -5.525259203562047E-02 -1.009323874690798E+00 -9.928164522703192E-05
2457923.500000000 -3.835130821228595E-02 -1.010228500325809E+00 -9.878744976955250E-05
2457924.500000000 -2.143675905495166E-02 -1.010846251117302E+00 -9.842694063379527E-05
2457925.500000000 -4.513852261003488E-03 -1.011176600662189E+00 -9.822425911482804E-05
2457926.500000000 1.241238601620544E-02 -1.011219129247450E+00 -9.819526634120970E-05
2457927.500000000 2.933681798824439E-02 -1.010973565792855E+00 -9.834469087289145E-05
2457928.500000000 4.625422071912384E-02 -1.010439828972015E+00 -9.866434238997946E-05
2457929.500000000 6.315933139545009E-02 -1.009618055860964E+00 -9.913321372944032E-05
2457930.500000000 8.004690246299279E-02 -1.008508608349158E+00 -9.971974394306594E-05
2457931.500000000 9.691175287825234E-02 -1.007112055206268E+00 -1.003856989601206E-04
2457932.500000000 1.137488037638104E-01 -1.005429136706524E+00 -1.010905599988935E-04
2457933.500000000 1.305530940861600E-01 -1.003460723408914E+00 -1.017953333288905E-04
2457934.500000000 1.473197794251731E-01 -1.001207779247399E+00 -1.024651812991871E-04
2457935.500000000 1.640441206245830E-01 -9.986713341415328E-01 -1.030708313888794E-04
2457936.500000000 1.807214688825058E-01 -9.958524665684438E-01 -1.035890630326079E-04
2457937.500000000 1.973472515953329E-01 -9.927522938234982E-01 -1.040026596497404E-04
2457938.500000000 2.139169608574394E-01 -9.893719669798267E-01 -1.043001440476291E-04
2457939.500000000 2.304261448050625E-01 -9.857126679929775E-01 -1.044754957943053E-04
2457940.500000000 2.468704010657342E-01 -9.817756072366054E-01 -1.045279394700155E-04
2457941.500000000 2.632453712275054E-01 -9.775620205934558E-01 -1.044618126215800E-04
2457942.500000000 2.795467352545299E-01 -9.730731659136784E-01 -1.042864716677413E-04
2457943.500000000 2.957702049995971E-01 -9.683103191548421E-01 -1.040161681409181E-04
2457944.500000000 3.119115163056997E-01 -9.632747708271882E-01 -1.036698223051638E-04
2457945.500000000 3.279664195671274E-01 -9.579678234804534E-01 -1.032706324931083E-04
2457946.500000000 3.439306689485918E-01 -9.523907909032643E-01 -1.028454805395203E-04
2457947.500000000 3.598000106580941E-01 -9.465449995268024E-01 -1.024241174535301E-04
2457948.500000000 3.755701707007619E-01 -9.404317923443756E-01 -1.020381286518290E-04
2457949.500000000 3.912368424566992E-01 -9.340525356073393E-01 -1.017196776396254E-04
2457950.500000000 4.067956743736489E-01 -9.274086287193408E-01 -1.015000125172699E-04
2457951.500000000 4.222422582607104E-01 -9.205015180903702E-01 -1.014077051528560E-04
2457952.500000000 4.375721193161547E-01 -9.133327160133434E-01 -1.014666052895089E-04
2457953.500000000 4.527807101673317E-01 -9.059038254672822E-01 -1.016935652055911E-04
2457954.500000000 4.678634125205806E-01 -8.982165705980902E-01 -1.020961474475556E-04
2457955.500000000 4.828155506423737E-01 -8.902728301704858E-01 -1.026707450779338E-04
2457956.500000000 4.976324195744217E-01 -8.820746680387880E-01 -1.034017156000499E-04
2457957.500000000 5.123093270006187E-01 -8.736243524105375E-01 -1.042620858980639E-04
2457958.500000000 5.268416421325541E-01 -8.649243566995570E-01 -1.052160114848132E-04
2457959.500000000 5.412248410029464E-01 -8.559773399154276E-01 -1.062225751829016E-04
2457960.500000000 5.554545381900056E-01 -8.467861115262770E-01 -1.072400217427234E-04
2457961.500000000 5.695265002354775E-01 -8.373535904288683E-01 -1.082294543220455E-04
2457962.500000000 5.834366425560679E-01 -8.276827675838556E-01 -1.091573743405667E-04
2457963.500000000 5.971810158399391E-01 -8.177766780554270E-01 -1.099969559575700E-04
2457964.500000000 6.107557885418838E-01 -8.076383835923979E-01 -1.107283236160761E-04
2457965.500000000 6.241572302916384E-01 -7.972709637489128E-01 -1.113382393906662E-04
2457966.500000000 6.373816985878844E-01 -7.866775123796141E-01 -1.118195631608303E-04
2457967.500000000 6.504256291916023E-01 -7.758611365586232E-01 -1.121707277963539E-04
2457968.500000000 6.632855294577549E-01 -7.648249557844923E-01 -1.123953479291827E-04
2457969.500000000 6.759579733081926E-01 -7.535721002433382E-01 -1.125019841231539E-04
2457970.500000000 6.884395964181592E-01 -7.421057077127154E-01 -1.125040166338148E-04
2457971.500000000 7.007270903076284E-01 -7.304289193702254E-01 -1.124195383196437E-04
2457972.500000000 7.128171943379984E-01 -7.185448753307138E-01 -1.122711510315181E-04
2457973.500000000 7.247066851014869E-01 -7.064567111466017E-01 -1.120855453808897E-04
2457974.500000000 7.363923633220378E-01 -6.941675566934756E-01 -1.118927639943734E-04
2457975.500000000 7.478710390611853E-01 -6.816805387506953E-01 -1.117250934498211E-04
2457976.500000000 7.591395165754923E-01 -6.689987881668589E-01 -1.116155916949717E-04
2457977.500000000 7.701945804475480E-01 -6.561254518847313E-01 -1.115963189473003E-04
2457978.500000000 7.810329845649653E-01 -6.430637094953747E-01 -1.116963829664338E-04
2457979.500000000 7.916514452733546E-01 -6.298167935817810E-01 -1.119399269023922E-04
2457980.500000000 8.020466398110838E-01 -6.163880129249827E-01 -1.123441901943747E-04
2457981.500000000 8.122152111217978E-01 -6.027807774895984E-01 -1.129177840516634E-04
2457982.500000000 8.221537802712389E-01 -5.889986236642112E-01 -1.136593631339520E-04
2457983.500000000 8.318589675810790E-01 -5.750452373013557E-01 -1.145569383389819E-04
2457984.500000000 8.413274226637161E-01 -5.609244708914475E-01 -1.155881153727810E-04
2457985.500000000 8.505558614661064E-01 -5.466403504901312E-01 -1.167214838957742E-04
2457986.500000000 8.595411056608364E-01 -5.321970688504541E-01 -1.179191685299156E-04
2457987.500000000 8.682801176561609E-01 -5.175989640878890E-01 -1.191402247983633E-04
2457988.500000000 8.767700247205659E-01 -5.028504872587525E-01 -1.203442717264301E-04
2457989.500000000 8.850081286573921E-01 -4.879561654308932E-01 -1.214946735870664E-04
2457990.500000000 8.929919017554049E-01 -4.729205674165394E-01 -1.225607729412733E-04
2457991.500000000 9.007189731852144E-01 -4.577482772256668E-01 -1.235190230655008E-04
2457992.500000000 9.081871112285452E-01 -4.424438769537189E-01 -1.243531847488604E-04
2457993.500000000 9.153942058651673E-01 -4.270119379623839E-01 -1.250539193361224E-04
2457994.500000000 9.223382543756660E-01 -4.114570177191663E-01 -1.256181200013713E-04
2457995.500000000 9.290173507792027E-01 -3.957836594456316E-01 -1.260482391978813E-04
2457996.500000000 9.354296786187226E-01 -3.799963922583277E-01 -1.263517590362402E-04
2457997.500000000 9.415735058718016E-01 -3.640997302859384E-01 -1.265408515066429E-04
2457998.500000000 9.474471804442404E-01 -3.480981700564556E-01 -1.266321974201086E-04
2457999.500000000 9.530491246464855E-01 -3.319961862102813E-01 -1.266468730167995E-04
2458000.500000000 9.583778272122759E-01 -3.157982263340124E-01 -1.266101669608210E-04
2458001.500000000 9.634318318469098E-01 -2.995087064221121E-01 -1.265511609665329E-04
2458002.500000000 9.682097220742215E-01 -2.831320090487478E-01 -1.265019074345270E-04
2458003.500000000 9.727101032865842E-01 -2.666724865333831E-01 -1.264960846891346E-04
2458004.500000000 9.769315841839802E-01 -2.501344709390076E-01 -1.265671135332951E-04
2458005.500000000 9.808727607767562E-01 -2.335222915410258E-01 -1.267458619828192E-04
2458006.500000000 9.845322063236577E-01 -2.168402986977505E-01 -1.270582023752067E-04
2458007.500000000 9.879084697534598E-01 -2.000928914426409E-01 -1.275227593911046E-04
2458008.500000000 9.910000835525851E-01 -1.832845452466147E-01 -1.281491663476246E-04
2458009.500000000 9.938055804545840E-01 -1.664198365242089E-01 -1.289370474502860E-04
2458010.500000000 9.963235171474614E-01 -1.495034612885502E-01 -1.298758203295366E-04
2458011.500000000 9.985525027793353E-01 -1.325402463156074E-01 -1.309453179205500E-04
2458012.500000000 1.000491229979887E+00 -1.155351518447111E-01 -1.321171752927126E-04
2458013.500000000 1.002138505981752E+00 -9.849326525254498E-02 -1.333568889761947E-04
2458014.500000000 1.003493281058673E+00 -8.141978567641210E-02 -1.346263964364831E-04
2458015.500000000 1.004554671189540E+00 -6.432000058762956E-02 -1.358869312539862E-04
2458016.500000000 1.005321972164486E+00 -4.719925676558934E-02 -1.371018200716526E-04
2458017.500000000 1.005794663619555E+00 -3.006292942152092E-02 -1.382388617914945E-04
2458018.500000000 1.005972403474929E+00 -1.291639362761176E-02 -1.392720088066777E-04
2458019.500000000 1.005855015182355E+00  4.234998624778490E-03 -1.401822371983023E-04
2458020.500000000 1.005442471262536E+00  2.138593415469100E-02 -1.409576798899732E-04
2458021.500000000 1.004734876527212E+00  3.853114741309407E-02 -1.415932309304699E-04
2458022.500000000 1.003732453411364E+00  5.566542405571766E-02 -1.420898756988474E-04
2458023.500000000 1.002435530542491E+00  7.278360148672559E-02 -1.424539718872904E-04
2458024.500000000 1.000844534507148E+00  8.988056848293573E-02 -1.426966341052932E-04
2458025.500000000 9.989599839440315E-01  1.069512655099023E-01 -1.428332927890665E-04
2458026.500000000 9.967824845906408E-01  1.239906866849366E-01 -1.428834224916219E-04
2458027.500000000 9.943127236535853E-01  1.409938836254282E-01 -1.428703683124498E-04
2458028.500000000 9.915514618210814E-01  1.579559706318294E-01 -1.428211393254385E-04
2458029.500000000 9.884995214619026E-01  1.748721297584175E-01 -1.427659858535228E-04
2458030.500000000 9.851577702404218E-01  1.917376133839731E-01 -1.427375477841850E-04
2458031.500000000 9.815271007122528E-01  2.085477411913488E-01 -1.427693844209846E-04
2458032.500000000 9.776084084140449E-01  2.252978885335488E-01 -1.428938088034023E-04
2458033.500000000 9.734025729853681E-01  2.419834645740379E-01 -1.431391619984015E-04
2458034.500000000 9.689104478846940E-01  2.585998814268082E-01 -1.435269224251325E-04
2458035.500000000 9.641328632155984E-01  2.751425188919824E-01 -1.440692287633564E-04
2458036.500000000 9.590706429621285E-01  2.916066915933993E-01 -1.447673757121432E-04
2458037.500000000 9.537246338950663E-01  3.079876250045664E-01 -1.456115960710078E-04
2458038.500000000 9.480957405756560E-01  3.242804441221033E-01 -1.465820905998789E-04
2458039.500000000 9.421849604402555E-01  3.404801749937160E-01 -1.476509877407342E-04
2458040.500000000 9.359934145069237E-01  3.565817566962398E-01 -1.487848134865434E-04
2458041.500000000 9.295223714518777E-01  3.725800604338781E-01 -1.499471065266974E-04
2458042.500000000 9.227732644913493E-01  3.884699127851833E-01 -1.511009322340141E-04
2458043.500000000 9.157477012950265E-01  4.042461209032910E-01 -1.522111483952883E-04
2458044.500000000 9.084474673351481E-01  4.199034980241007E-01 -1.532463254796745E-04
2458045.500000000 9.008745231347060E-01  4.354368878037240E-01 -1.541802405455852E-04
2458046.500000000 8.930309961463524E-01  4.508411860073833E-01 -1.549928799609221E-04
2458047.500000000 8.849191684817310E-01  4.661113582296316E-01 -1.556709252870061E-04
2458048.500000000 8.765414621868965E-01  4.812424528197942E-01 -1.562077586665288E-04
2458049.500000000 8.679004239479287E-01  4.962296089500106E-01 -1.566030887927330E-04
2458050.500000000 8.589987108796383E-01  5.110680605545673E-01 -1.568623415833688E-04
2458051.500000000 8.498390784679897E-01  5.257531374377997E-01 -1.569959672327452E-04
2458052.500000000 8.404243709956342E-01  5.402802650650869E-01 -1.570187890275937E-04
2458053.500000000 8.307575140688143E-01  5.546449644310195E-01 -1.569494708463199E-04
2458054.500000000 8.208415082902728E-01  5.688428530295792E-01 -1.568101219532425E-04
2458055.500000000 8.106794227129580E-01  5.828696474092503E-01 -1.566259966441328E-04
2458056.500000000 8.002743864691962E-01  5.967211670963609E-01 -1.564251841437559E-04
2458057.500000000 7.896295769661459E-01  6.103933387776919E-01 -1.562381225355496E-04
2458058.500000000 7.787482034619411E-01  6.238821985473860E-01 -1.560967203525884E-04
2458059.500000000 7.676334859922678E-01  6.371838889333999E-01 -1.560328611120669E-04
